Latitude,Longitude,Performance Score
38.93,46.58,1.75095955601596
38.97,46.58,1.4469418927396986
38.97,46.5,1.4979623597177962
38.97,46.62,1.5136598678210145
38.97,46.66,1.5757348214987703
39.01,46.58,1.0
39.01,46.62,1.0
39.01,46.66,1.364670909083425
39.01,46.7,1.6717906143170882
39.05,46.58,1.0
39.05,46.5,1.0
39.05,46.62,1.2504840594276263
39.05,46.66,1.3917420102948326
39.05,46.74,1.0
39.05,46.7,1.299321758231404
39.09,46.58,1.0
39.09,46.62,1.3532079638971897
39.09,46.66,1.0
39.09,46.74,1.5673238678833101
39.09,46.7,1.428651529457893
39.13,46.58,1.0
39.13,46.5,1.0
39.13,46.62,1.0
39.13,46.66,1.4866249691880835
39.13,46.74,1.5921411716556744
39.13,46.78,1.3806403281154156
39.13,46.7,1.7086056819478548
39.17,46.46,1.249301704705172
39.17,46.58,1.0
39.17,46.5,1.0
39.17,46.62,1.3616785200071106
39.17,46.66,1.6981506394284587
39.17,46.74,1.0
39.17,46.7,1.5163871054498717
39.17,46.82,1.3661573189765865
39.21,46.5,1.499442858992583
39.21,46.62,1.2677590834363015
39.21,46.66,1.5823848950782355
39.21,46.74,1.4237880504288978
39.21,46.78,1.5773875127130836
39.21,46.7,1.6254343858268367
39.21,46.82,1.749770710326479
39.21,46.86,1.7340192103318899
39.21,46.94,1.794831066898977
39.21,46.9,1.6917342970615685
39.25,46.58,1.3278191572072802
39.25,46.62,1.4654693325287755
39.25,46.66,1.5045103504741093
39.25,46.74,1.5365256136806404
39.25,46.78,1.9006567151700207
39.25,46.7,1.0
39.25,46.82,2.3168292787576354
39.25,46.86,2.316480745935152
39.25,46.94,2.3348892155803793
39.25,46.98,2.4936780558520755
39.25,46.9,2.2923388851405773
39.25,47.02,2.3180879283976603
39.29,46.58,1.0
39.29,46.62,1.5629956253658612
39.29,46.66,1.0
39.29,46.74,1.7523879167468959
39.29,46.78,2.0433911021702116
39.29,46.7,1.5098191372255017
39.29,46.82,2.4262584086765453
39.29,46.86,2.7662012399018145
39.29,46.94,2.733519789992093
39.29,46.98,2.6024478419848065
39.29,46.9,2.683607160554736
39.29,47.02,2.250399060061532
39.29,47.06,1.7718586161621757
39.29,47.1,1.460014654377682
39.33,46.58,1.313355274740732
39.33,46.5,1.3974524657636131
39.33,46.62,1.3930059428964616
39.33,46.66,1.405152298315162
39.33,46.74,1.719056594881362
39.33,46.78,2.174215785293003
39.33,46.7,1.3976940383752698
39.33,46.82,2.2869612818166707
39.33,46.86,2.2568723943052333
39.33,46.94,2.576897608814675
39.33,46.98,2.6665205521622206
39.33,46.9,2.388837486100383
39.33,47.02,2.329489524842543
39.33,47.06,1.910562954597457
39.33,47.14,1.378044467800289
39.33,47.1,1.58000408304129
39.37,46.42,1.0
39.37,46.46,1.3703065676172221
39.37,46.58,1.4048649918861449
39.37,46.5,1.3198397680449778
39.37,46.62,1.6421207397463722
39.37,46.66,1.3972354647109289
39.37,46.74,1.7416063837130242
39.37,46.78,1.853942072272105
39.37,46.7,1.3910860456671335
39.37,46.82,1.7426584442363477
39.37,46.86,1.6669537969481745
39.37,46.94,2.23328591045153
39.37,46.98,2.5982693530934537
39.37,46.9,1.8968560374177814
39.37,47.02,2.594456242571828
39.37,47.06,2.2752696806060917
39.37,47.14,1.8127194134959417
39.37,47.18,1.691620730673141
39.37,47.1,1.9443253791295796
39.41,46.38,1.0
39.41,46.42,1.0
39.41,46.46,1.0
39.41,46.58,1.6880456430250235
39.41,46.5,1.4445071671728444
39.41,46.62,1.4986838511155771
39.41,46.66,1.377778071701069
39.41,46.74,1.4379047097144781
39.41,46.78,1.3618132594535084
39.41,46.7,1.5250987185972358
39.41,46.82,1.4271353196047274
39.41,46.86,1.2948719625533323
39.41,46.94,2.07642576925998
39.41,46.98,2.2764716515012235
39.41,46.9,1.6302602193131897
39.41,47.02,2.2024095019527707
39.41,47.06,2.248170837410632
39.41,47.14,2.045799653470807
39.41,47.18,1.5413607924902566
39.41,47.1,2.4433034842106287
39.41,47.22,1.333397613759962
39.41,47.26,1.3728411425264946
39.45,46.46,1.5988061842714956
39.45,46.58,1.4804511343068034
39.45,46.5,1.4068013953042737
39.45,46.62,1.0
39.45,46.66,1.0
39.45,46.74,1.0
39.45,46.78,1.3417095761832851
39.45,46.7,1.4398440526540064
39.45,46.82,1.503676046501193
39.45,46.86,1.5127740928237785
39.45,46.94,1.8449627682156162
39.45,46.98,1.7400220274932663
39.45,46.9,1.7277965242006985
39.45,47.02,1.5885477263561247
39.45,47.06,1.7694080695572978
39.45,47.14,2.00661335185972
39.45,47.18,1.7362946342003973
39.45,47.1,1.9457762989943441
39.45,47.22,1.511726638569126
39.45,47.26,1.5852996776330983
39.45,47.3,1.4396661641388337
39.49,46.58,1.6370850160212955
39.49,46.62,1.3577906477045267
39.49,46.66,1.3208205203809176
39.49,46.74,1.0
39.49,46.78,1.333856131028016
39.49,46.7,1.2619640370882592
39.49,46.82,1.2717525637492126
39.49,46.86,1.4097072536247393
39.49,46.94,1.5175801040532093
39.49,46.98,1.4876459274416678
39.49,46.9,1.3316030582741492
39.49,47.02,1.0
39.49,47.06,1.4168598475014555
39.49,47.14,1.5304836178639796
39.49,47.18,1.9318828012470568
39.49,47.1,1.4131421909210886
39.49,47.22,1.6944133832952433
39.49,47.26,1.5679670970861739
39.49,47.34,1.2970543247393544
39.49,47.3,1.2945564412574606
39.53,46.58,1.7722659074012366
39.53,46.5,2.0865621756704984
39.53,46.62,1.4118952139784664
39.53,46.66,1.4009961393959145
39.53,46.74,1.0
39.53,46.78,1.3397134271177924
39.53,46.7,1.3916287719976126
39.53,46.82,1.4534739723482124
39.53,46.86,1.3383742368292537
39.53,46.94,1.2612903766749197
39.53,46.98,1.0
39.53,46.9,1.0
39.53,47.02,1.0
39.53,47.06,1.3185402372412316
39.53,47.14,1.4988056775907728
39.53,47.18,1.5309480639208328
39.53,47.1,1.0
39.53,47.22,1.3076603010262458
39.53,47.26,1.0
39.53,47.34,1.0
39.53,47.38,1.372661542464655
39.53,47.3,1.4746089013600934
39.53,47.46,1.321285143598302
39.57,46.62,1.4221407523848806
39.57,46.66,1.0
39.57,46.74,1.0
39.57,46.78,1.2297223927422751
39.57,46.7,1.3523899009442149
39.57,46.82,1.0
39.57,46.86,1.0
39.57,46.94,1.0
39.57,46.98,1.0
39.57,46.9,1.0
39.57,47.02,1.0
39.57,47.06,1.0
39.57,47.14,1.4039744353567107
39.57,47.18,1.310554902252312
39.57,47.1,1.3799893344463492
39.57,47.22,1.2954914993600748
39.57,47.26,1.0
39.57,47.34,1.4162546821622197
39.57,47.38,1.448530531790767
39.57,47.3,1.3473722548549472
39.57,47.46,1.4881703817296341
39.57,47.54,1.0
39.57,47.58,1.4191905280191532
39.57,47.5,1.4824741748354253
39.61,46.18,2.641325235818859
39.61,46.22,2.4220154581520283
39.61,46.26,2.3233486064357067
39.61,46.38,1.5492014129252734
39.61,46.42,1.7520314785166586
39.61,46.46,1.5299841909631586
39.61,46.58,1.2300745527640549
39.61,46.5,1.3723197808229202
39.61,46.62,1.0
39.61,46.66,1.2682250994079316
39.61,46.74,1.0
39.61,46.78,1.3368412202455344
39.61,46.7,1.0
39.61,46.82,1.0
39.61,46.86,1.0
39.61,46.94,1.0
39.61,46.98,1.186483864331648
39.61,46.9,1.0
39.61,47.02,1.3599430991714057
39.61,47.06,1.4989556252704332
39.61,47.14,1.3182582695518843
39.61,47.18,1.0
39.61,47.1,1.3462908452393991
39.61,47.22,1.4188265836579665
39.61,47.26,1.4421528553812897
39.61,47.34,1.3638613167251548
39.61,47.38,1.4700157410207275
39.61,47.3,1.4388380224592898
39.61,47.46,1.3490428339382727
39.61,47.54,1.6493474420351397
39.61,47.58,1.529674447006477
39.61,47.5,1.5336890984061269
39.61,47.62,1.433680906084876
39.61,47.66,1.4877292317494935
39.65,46.14,2.4467637289721096
39.65,46.18,2.070637861196324
39.65,46.22,1.729164241584126
39.65,46.26,1.6526678106720685
39.65,46.34,1.331890034481108
39.65,46.38,1.3110244216514726
39.65,46.3,1.6024927061993948
39.65,46.42,1.4089713219908433
39.65,46.46,1.2493144176965079
39.65,46.58,1.0
39.65,46.5,1.47028007120171
39.65,46.62,1.0
39.65,46.66,1.0
39.65,46.74,1.3649909173091714
39.65,46.78,1.2618395394848678
39.65,46.7,1.2568218426013116
39.65,46.82,1.0
39.65,46.86,1.0
39.65,46.94,1.0
39.65,46.98,1.0
39.65,46.9,1.0
39.65,47.02,1.0
39.65,47.06,1.0
39.65,47.14,1.335042769492735
39.65,47.18,1.5891760881432617
39.65,47.1,1.427845857499771
39.65,47.22,1.7259279286083309
39.65,47.26,1.8575212211619878
39.65,47.34,1.7774976196451053
39.65,47.38,1.8416938760085382
39.65,47.3,1.8916545664917006
39.65,47.46,1.8401175483799428
39.65,47.54,1.5203203820673898
39.65,47.58,1.4047698276852865
39.65,47.5,1.8282466336682976
39.65,47.62,1.531076296973599
39.65,47.66,1.4689046450961374
39.69,46.06,3.0
39.69,46.14,2.2866646295955815
39.69,46.18,1.7850781270985425
39.69,46.1,2.751969731088217
39.69,46.22,1.3970819961681051
39.69,46.26,1.2806247368657293
39.69,46.34,1.3312555516500117
39.69,46.38,1.446193411671392
39.69,46.3,1.2186157804586044
39.69,46.42,1.4349789708507126
39.69,46.46,1.3517797076815414
39.69,46.58,1.2543366600766723
39.69,46.5,1.0
39.69,46.62,1.0
39.69,46.66,1.3169384883592807
39.69,46.74,1.0
39.69,46.78,1.0
39.69,46.7,1.0
39.69,46.82,1.0
39.69,46.86,1.0
39.69,46.94,1.1606786442223331
39.69,46.98,1.2508561973190209
39.69,46.9,1.266903223632699
39.69,47.02,1.2692566032725145
39.69,47.06,1.2999858374556215
39.69,47.14,1.8711299649065056
39.69,47.18,1.7871386896488966
39.69,47.1,1.6505367704116314
39.69,47.22,1.4119489998306214
39.69,47.26,1.36608321968336
39.69,47.34,2.0137386255412135
39.69,47.38,2.3832348178265446
39.69,47.3,1.640537358826436
39.69,47.46,1.9407460708076403
39.69,47.54,1.5786313330218709
39.69,47.58,1.0
39.69,47.5,1.6568875384788269
39.69,47.62,1.5953683922657784
39.69,47.66,1.0
39.73,46.06,2.737651662472883
39.73,46.14,2.060936098119727
39.73,46.18,1.6378397140242693
39.73,46.1,2.4591957320730438
39.73,46.22,1.492127711524193
39.73,46.26,1.4672482718863684
39.73,46.34,1.0
39.73,46.38,1.1935422124072648
39.73,46.3,1.4061174856448355
39.73,46.42,1.0
39.73,46.46,1.2134440009330028
39.73,46.58,1.3195952448733856
39.73,46.5,1.2597219162962066
39.73,46.62,1.218380740662638
39.73,46.66,1.1625754242824617
39.73,46.74,1.0
39.73,46.78,1.0
39.73,46.7,1.250846338892386
39.73,46.82,1.161988844584904
39.73,46.86,1.0
39.73,46.94,1.0
39.73,46.98,1.332170089986805
39.73,46.9,1.0
39.73,47.02,1.0
39.73,47.06,1.3247876766386593
39.73,47.14,1.722840880998562
39.73,47.18,1.7720799228426527
39.73,47.1,1.486880244128665
39.73,47.22,1.3981555645247437
39.73,47.26,1.3123181583752337
39.73,47.34,2.048637616489032
39.73,47.38,2.4938078961014383
39.73,47.3,1.6167718988329394
39.73,47.46,1.7952396745818646
39.73,47.54,1.3962607439124792
39.73,47.58,1.0
39.73,47.5,1.436711502020656
39.73,47.62,1.5701747627522507
39.77,46.02,2.0522520673769766
39.77,46.06,2.429496881861174
39.77,46.14,1.8537977746335494
39.77,46.18,1.354947450727786
39.77,46.1,2.275777241250649
39.77,46.22,1.0
39.77,46.26,1.3555669957446301
39.77,46.34,1.0
39.77,46.38,1.0
39.77,46.3,1.4476831572311888
39.77,46.42,1.0
39.77,46.46,1.2393397961499077
39.77,46.58,1.2602174234991306
39.77,46.5,1.229189873930131
39.77,46.62,1.0
39.77,46.66,1.2001813044493992
39.77,46.74,1.0
39.77,46.78,1.0
39.77,46.7,1.2473163830336187
39.77,46.82,1.0
39.77,46.86,1.274519173460584
39.77,46.94,1.215923346984677
39.77,46.98,1.0
39.77,46.9,1.2626756003511013
39.77,47.02,1.0
39.77,47.06,1.2792590240873472
39.77,47.14,1.5232627946963906
39.77,47.18,1.8017054587056098
39.77,47.1,1.245239126830892
39.77,47.22,1.8936518334283807
39.77,47.26,1.8148121009777098
39.77,47.34,2.3107279150363644
39.77,47.38,2.6422314613502906
39.77,47.3,1.9882768673150675
39.77,47.46,2.006100625795201
39.77,47.54,1.700327861471397
39.77,47.58,1.681827662469721
39.77,47.5,1.7244246579130145
39.81,45.86,2.037352295022887
39.81,45.94,1.0
39.81,45.98,1.5987979177688565
39.81,45.9,1.6281352915493024
39.81,46.02,2.008012371586697
39.81,46.06,2.356468845730725
39.81,46.14,2.0334881488980803
39.81,46.18,1.5643863491530912
39.81,46.1,2.4730791421441634
39.81,46.22,1.1447461061954496
39.81,46.26,1.2706042426869553
39.81,46.34,1.1782874846471216
39.81,46.38,1.0
39.81,46.3,1.248532869127485
39.81,46.42,1.2321858001710837
39.81,46.46,1.2584707843400487
39.81,46.58,1.3914953595331527
39.81,46.5,1.0
39.81,46.62,1.0
39.81,46.66,1.0
39.81,46.74,1.0
39.81,46.78,1.0
39.81,46.7,1.0
39.81,46.82,1.1841774832090386
39.81,46.86,1.0
39.81,46.94,1.0
39.81,46.98,1.3352876932718656
39.81,46.9,1.0
39.81,47.02,1.3019250006198393
39.81,47.06,1.2497283416088107
39.81,47.14,1.198084223460224
39.81,47.18,1.614197448513799
39.81,47.1,1.2969518311624249
39.81,47.22,1.9853081668716435
39.81,47.26,1.956174149335024
39.81,47.34,2.377257297938518
39.81,47.38,2.1887770133642044
39.81,47.3,2.12801348844025
39.81,47.46,2.0477942179163238
39.81,47.54,1.713855375685462
39.81,47.58,1.8409495890889775
39.81,47.5,1.792131427309587
39.81,47.62,1.5950559324420064
39.81,47.66,1.0
39.85,45.86,1.9466456030087311
39.85,45.94,1.7748606905943056
39.85,45.98,1.8466889815079188
39.85,45.9,1.7868162602726363
39.85,46.02,2.1264095939313554
39.85,46.06,2.308343103465846
39.85,46.14,1.8482141079328658
39.85,46.18,1.5312549903122388
39.85,46.1,2.0891173578760323
39.85,46.22,1.3529811410002004
39.85,46.26,1.0
39.85,46.34,1.3158885859179126
39.85,46.38,1.2511018465314876
39.85,46.3,1.2192598800674077
39.85,46.42,1.177975335121551
39.85,46.46,1.0
39.85,46.58,1.1490935241676226
39.85,46.5,1.3341065619884749
39.85,46.62,1.0
39.85,46.66,1.0
39.85,46.74,1.0
39.85,46.78,1.2829591284194197
39.85,46.7,1.0
39.85,46.82,1.2337661800613162
39.85,46.86,1.0
39.85,46.94,1.3028855237055532
39.85,46.98,1.0
39.85,46.9,1.0
39.85,47.02,1.0
39.85,47.06,1.2650257076460376
39.85,47.14,1.5742491131843879
39.85,47.18,1.8173942247180233
39.85,47.1,1.48620903901465
39.85,47.22,1.4972893351955296
39.85,47.26,1.4568692888755335
39.85,47.34,2.0763395053118376
39.85,47.38,1.7612728022448974
